orofacial cleft,CHD,autism,als,alzheimers,adhd,schizophrenia,coronary artery,obesity,type 2 diabetes
PAX7,ABCC9,ADNP,SOD1,APP,ST3GAL3,ADAMTS9,REST,FTO,TMEM154
GRHL3,ABCD3,ANK2,TARDBP,PSEN1,KDM4A,AKT3,NOA1,MC4R,SSR1
ARHGAP29,ACTB,ARID1B,FUS,PSEN2,PTPRF,ATP2A2,NOS3,TMEM18,FAF1
IRF6,ACVR2B,ASH1L,VCP,APOE,SLC6A9,B3GAT1,SWAP70,GNPDA2,POU5F1
TGFA,ADAMTS10,ASXL3,C9ORF72,CLU,ARTN,BAI1,SMAD3,SEC16B,LPP
THADA,ADNP,CHD2,PFN1,ABCA7,DPH2,BTG1,MFGE8,TFAP2B,ARL15
FAM49A,ANKRD11,CHD8,TDP43,SORL1,ATP6V0B,CACNA1C,BCAS3,BDNF,MPHOSPH9
EPHA3,ARHGAP31,CUL3,UBQLN2,CR1,B4GALT2,CACNA1I,PMAIP1,NEGR1,TCF7L2
COL8A1,ARID1A,DSCAM,KIF5A,CD33,CCDC24,CACNB2,POM121L9P,BCDIN3D,PEPD
TP63,ARL13B,DYRK1A,ALS2,MS4A,IPO13,CAPRIN2,KSR2,ADCY3,KLF14
DCAF4L2,ARMC4,GRIN2B,SETX,TREM2,SPAG16,CD14,ZNF507,ATP2A1,CDKAL1
FILIPIL,ASXL1,KATNAL2,ANG,BIN1,PCDH7,CEBPB,PCSK9,ETV5,VPS26A
BAALC,ATIC,KMT2A,MATR3,CD2AP,LINC02497,CENPT,PPAP2B,GPRC5B,GCC1
FOXE1,B3GALT6,KMT5B,CHCHD10,PICALM,LINC00461,CHD7,SORT1,QPCTL,TSPAN8
SMC2,BBS1,MYT1L,TUBA4A,EPHA1,MIR9,CNKSR2,IL6R,MAP2K5,GCKR
BMP4,BBS10,NAA15,TBK1,HLA,LINC02060,CNTN4,MIA3,MTCH2,GRB14
VAX1,TRIM32,POGZ,NEK1,DRB5,TMEM161B,CSMD1,AK097927,POC5,BCAR1
TBK1,BBS12,PTEN,OPTN,DRB1,FOXP2,CTNNA1,APOB,FPGT-TNNI3K,ZFAND3
TGFB3,BBS2,RELN,,INPP5D,MIR3666,CTNNBL1,ABCG5,ZC3H4,PSMD6
SPRY2,ARL6,SCN2A,,MEF2C,LINC01288,CTNND1,VAMP5,NRXN3,CILP2
PAX9,BBS4,SETD5,,CASS4,SORCS3,CUL3,ZEB2,CADM2,RASGRP1
TPM1,BBS5,SHANK3,,PTK2B,DUSP6,CYP26B1,WDR12,LINGO2,RBMS1
ARID3B,MKKS,SYNGAP1,,NME8,POC1B,DDX10,MRAS,GNAT2,TLE4
CREBBP,BBS7,TBR1,,ZCWPW1,SEMA6D,DGKD,EDNRA,AGBL4,ZBED3
CRISPLD2,TTC8,TRIP12,,CELF1,LINC01572,DGKI,GUCY1A3,OLFM4,HHEX/IDE
NTN1,BBS9,ANKRD11,,FERMT2,,DPP4,SLC22A4,CADM1,CDC123
NOG,BCOR,BAZ2B,,SLC24A4,,DPYD,ADTRP,SLC39A8,ARAP1
TANC2,BRAF,BCKDK,,RIN3,,EIF5,PHACTR1,PTBP2,KCNQ1
ZNF236,CACNA1C,BCL11A,,DSG2,,EML1,ANKS1A,TCF7L2,NOTCH2
RHPN2,CBL,CACNA1D,,PLD3,,EP300,KCNK5,STXBP6,JAZF1
MAFB,CCDC103,CACNA1H,,UNC5C,,FCGR1A,TCF21,HNF4G,KCNJ11
,CCDC114,CACNA2D3,,AKAP9,,FEZ1,SLC22A3,ZFP64,DGKB
,CCDC151,CEP41,,ADAM10,,FPGT,LPAL2,LINC01122,THADA
,CCDC39,CIC,,,,GPM6A,PLG,TRIM66,KCNK16
,CCDC40,CNOT3,,,,GPR56,HDAC9,HIF1AN,ST64GAL1
,CD96,CNTN4,,,,GRIA1,7q22,FUBP1,MTNR1B
,CDKN1C,CNTNAP2,,,,GRIN2A,ZC3HC1,ERBB4,PTPRD
,CEP290,CTNND2,,,,GRM3,LPL,FHIT,PROX1
,CEP41,CUX1,,,,HCN1,TRIB1,C6orf106,HNF4A
,CEP57,DDX3X,,,,HSPA8,9p21,NAV1,GIPR
,CFC1,DEAF1,,,,IGF1,ABO,CALCR,HMGA2
,CHD4,DIP2C,,,,IQGAP1,KIAA1462,MTIF3,SPRY2
,CHD7,ERBIN,,,,ITGA9,CXCL12,RASA2,AP3S2
,CHST3,FOXP1,,,,KCNC3,LIPA,HIP1,ADAMTS9
,CITED2,GABRB3,,,,KCNQ5,CYP17A1,NLRC3,GCK
,COL1A1,GIGYF2,,,,KIF5C,PDGFD,TLR4,ZFAND6
,COL1A2,GRIA1,,,,LINGO1,ZNF259,KAT8,FTO
,COL2A1,GRIP1,,,,LRP1,ATP2B1,KCNK3,GLIS3
,COL3A1,ILF2,,,,LRP4,SH2B3,SBK1,CCND2
,COL5A1,INTS6,,,,LRRN3,FLT1,RARB,IGF2BP2
,COL5A2,IRF2BPL,,,,LUZP2,COL4A1,RPTOR,TMEM163
,COX7B,KAT2B,,,,MAD1L1,COL4A2,LOC100287559,PPARG
,CREBBP,KDM5B,,,,MAN2A1,HHIPL1,PRKD1,HNF1B
,CRELD1,KDM6A,,,,MEF2C,ADAMTS7,C9orf93,PRC1
,DDX11,KMT2C,,,,MKL2,FURIN,USP37,CDKN2A/B
,DGCR2,LEO1,,,,MMP16,SMG6,PARK2,HNF1A
,DHCR7,MACROD2,,,,MMP6,RAI1,DMXL2,GRK5
,DNAAF1,MAGEL2,,,,MPHOSPH9,UBE2Z,SCARB2,ANK1
,DNAAF2,MBOAT7,,,,NAMPT,LDLR,NT5C2,SRR
,DNAAF3,MECP2,,,,NCAM1,APOC1,CBLN1,KLHDC5
