chemical,sd,mean,lci,uci
Other,1.1906288314803085e-4,2.1857283383672433e-4,2.111932398842529e-4,2.2595242778919574e-4
Metal,1.6479888501007484e-4,1.573643360853113e-4,1.4714999536854617e-4,1.6757867680207645e-4
Nitro-PAH,1.7784647340222145e-4,4.366592102026693e-4,4.2563617157898964e-4,4.4768224882634893e-4
PAH,2.0028182642704034e-4,7.477653671712802e-4,7.353517709605004e-4,7.6017896338206e-4
ROS/NOS,2.3823568191254937e-4,1.9533670033670034e-4,1.8057069979126645e-4,2.1010270088213422e-4
Alkylating Agent,2.1490169193558628e-4,4.041681194016526e-4,3.908483745386629e-4,4.1748786426464235e-4
DNA Damage Response Inhibitors,2.0058121900619363e-4,6.444444444444446e-5,5.201229168935696e-5,7.687659719953195e-5
Drug Therapy,1.1042082232514227e-4,2.0493234294770112e-4,1.980883894744392e-4,2.1177629642096302e-4
Control,2.1313911875916994e-4,2.4938498113227217e-4,2.3617448168657425e-4,2.625954805779701e-4
Heterocyclic Amine,2.0850505618103798e-4,2.0804119367045064e-4,1.9511791639905904e-4,2.2096447094184225e-4
Aromatic Amine,1.0794765404799422e-4,1.3208188790232134e-4,1.2539122298699563e-4,1.3877255281764705e-4
Nitrosamine,3.9129258575322284e-4,1.9433333333333336e-4,1.700807676040014e-4,2.185858990626653e-4
Aldehydes,2.0924894717088284e-4,1.529057054057054e-4,1.3993632129308156e-4,1.6587508951832923e-4
Radiation,6.38401448816028e-4,8.428968253968254e-4,8.033282936565484e-4,8.824653571371025e-4
