chemical,sd,mean,lci,uci
Other,1.6794180682309933e-8,1.5127703709715803e-7,1.5023612299426502e-7,1.5231795120005103e-7
Metal,1.9446105096524322e-8,1.030867854253178e-7,1.018815033443269e-7,1.042920675063087e-7
Nitro-PAH,3.068385968318424e-8,3.060844611137084e-7,3.0418265578723243e-7,3.0798626644018434e-7
PAH,3.774636180242109e-8,4.182063533627128e-7,4.158668096197764e-7,4.205458971056492e-7
ROS/NOS,3.3860913286346214e-8,1.7058511566485118e-7,1.6848639451594028e-7,1.7268383681376208e-7
Alkylating Agent,3.259097165434936e-8,2.9992654438278274e-7,2.979065350317024e-7,3.0194655373386306e-7
DNA Damage Response Inhibitors,3.379489365688639e-8,1.0339472607079053e-7,1.0130009686090735e-7,1.0548935528067371e-7
Drug Therapy,1.6070971620414996e-8,1.394425325863164e-7,1.384464434454806e-7,1.404386217271522e-7
Control,2.8637383180531785e-8,1.9249914426951344e-7,1.907241808707949e-7,1.94274107668232e-7
Heterocyclic Amine,2.5071614662887952e-8,1.411449723748663e-7,1.395910175985914e-7,1.426989271511412e-7
Aromatic Amine,1.4562904649231481e-8,1.0138412465778266e-7,1.0048150647620988e-7,1.0228674283935543e-7
Nitrosamine,4.273720149054263e-8,1.192687784775004e-7,1.166198992858799e-7,1.219176576691209e-7
Aldehydes,2.1990572168970272e-8,9.36625523108856e-8,9.22995625268422e-8,9.502554209492901e-8
Radiation,7.153514080900677e-8,4.6018360560303593e-7,4.5574981164016843e-7,4.6461739956590343e-7
