chemical,sd,mean,lci,uci
Other,5.032161141392374e-7,8.86258770594536e-7,8.550691127053426e-7,9.174484284837293e-7
Metal,6.884017420903738e-7,6.202536704219161e-7,5.775860883973418e-7,6.629212524464904e-7
Nitro-PAH,7.557290744792548e-7,1.8244520919839893e-6,1.777611518664426e-6,1.8712926653035526e-6
PAH,9.024307779440801e-7,3.0992511662859945e-6,3.043317927182752e-6,3.155184405389237e-6
ROS/NOS,9.438971527147227e-7,6.978769147399516e-7,6.39373563101236e-7,7.563802663786672e-7
Alkylating Agent,9.402514316270458e-7,1.7790250536486415e-6,1.720747666144001e-6,1.837302441153282e-6
DNA Damage Response Inhibitors,7.841766228015771e-7,2.3247124010412583e-7,1.8386746947225625e-7,2.8107501073599543e-7
Drug Therapy,4.654918252865415e-7,8.445397200173907e-7,8.156882377755358e-7,8.733912022592455e-7
Control,8.596729546009424e-7,1.094766947006429e-6,1.041483865250473e-6,1.1480500287623848e-6
Heterocyclic Amine,8.69207612647875e-7,8.288522820231169e-7,7.749782360388335e-7,8.827263280074004e-7
Aromatic Amine,4.6478122164624547e-7,5.819388462119785e-7,5.531314076400558e-7,6.107462847839013e-7
Nitrosamine,1.5294504335574402e-6,7.294631249955627e-7,6.346668050034414e-7,8.242594449876841e-7
Aldehydes,8.561286786188367e-7,6.282353153921334e-7,5.751719101374674e-7,6.812987206467995e-7
Radiation,2.635028084448322e-6,3.499743572167007e-6,3.33642283943781e-6,3.6630643048962043e-6
