"","gene","Length","sd","sample_weight"
"1","A1BG",184.769230769231,119.457910193056,3.45804903147758e-05
"2","A1CF",160.864197530864,51.7701055355356,3.01065431811961e-05
"3","A2M",115.212765957447,58.6507482328241,2.15626482869652e-05
"4","A2ML1",119.60824742268,55.7682251041888,2.23852847378747e-05
"5","A3GALT2",204,271.971505860449,3.81796254432912e-05
"6","A4GALT",1059,0,0.000198197173257085
"7","A4GNT",510,144.249783362056,9.54490636082281e-05
"8","AAAS",99.9830508474576,43.6915092853898,1.87123305491837e-05
"9","AACS",116.086956521739,50.0389966503202,2.17262574453511e-05
"10","AADAC",201,157.685604923214,3.76181603632428e-05
"11","AADACL2",194.571428571429,190.497469049554,3.64150209059962e-05
"12","AADACL3",305.25,317.638552446015,5.71290718949247e-05
"13","AADACL4",305.25,317.638552446015,5.71290718949247e-05
"14","AADAT",102.088235294118,48.5920377035437,1.91063264004706e-05
"15","AAGAB",81.2068965517241,30.3884133350958,1.51982788909653e-05
"16","AAK1",159.123076923077,154.431063472945,2.97806837073877e-05
"17","AAMDC",105.891891891892,33.0864052174033,1.98181998525192e-05
"18","AAMP",116.744186046512,34.4695124250649,2.18492612545967e-05
"19","AANAT",175.666666666667,89.846670736451,3.28768996872785e-05
"20","AAR2",388.666666666667,277.39637704916,7.2740920370715e-05
"21","AARD",232.5,129.400540957138,4.3513543703751e-05
"22","AARS",138.62962962963,43.3679677501797,2.594523203236e-05
"23","AARS2",134.318181818182,40.6569696053355,2.5138322902167e-05
"24","AARSD1",84.9375,49.4817903944993,1.58964800788703e-05
"25","AASDH",228.230769230769,184.789218539561,4.27145357052206e-05
"26","AASDHPPT",149.4375,62.1449582293957,2.79679792999109e-05
"27","AASS",116.85,42.8361907796005,2.18690648678852e-05
"28","AATF",108.333333333333,78.7531457848796,2.02751278906367e-05
"29","AATK",212.016949152542,479.353209760583,3.96800377758499e-05
"30","ABAT",90.4242424242424,42.8135709242708,1.69233515036811e-05
"31","ABCA1",139.677966101695,56.7509503727094,2.6141433472762e-05
"32","ABCA10",124.020618556701,49.8430828077485,2.32110821751968e-05
"33","ABCA12",147.386138613861,61.4781213598838,2.75840567049521e-05
"34","ABCA13",182.521472392638,391.616377187892,3.41598110358281e-05
"35","ABCA2",150.319852941176,63.250254810219,2.81331160881605e-05
"36","ABCA3",169.47619047619,58.6272690991799,3.17183209506707e-05
"37","ABCA4",136.326315789474,58.8905299082793,2.55141552691468e-05
"38","ABCA5",127.618055555556,47.1908780636308,2.38843605927071e-05
"39","ABCA6",131.853658536585,45.0608260996232,2.46770749816394e-05
"40","ABCA7",136.047337278107,52.0029544319688,2.54619430384079e-05
"41","ABCA8",126.817518248175,45.2722514315113,2.37345360115837e-05
"42","ABCA9",130.487804878049,42.7762608396088,2.44214486037312e-05
"43","ABCB1",138.21686746988,50.3754315342579,2.58679815193384e-05
"44","ABCB10",170.307692307692,121.876566393616,3.18739406981323e-05
"45","ABCB11",144.122448979592,60.5201869396558,2.6973240784366e-05
"46","ABCB4",135.575163398693,51.4348966132069,2.53735733234073e-05
"47","ABCB5",141.428571428571,53.5434766904793,2.64690680594246e-05
"48","ABCB6",134.044444444444,109.855060618227,2.50870915766811e-05
"49","ABCB7",134.714285714286,54.0962751831839,2.52124557374115e-05
"50","ABCB8",120.446601941748,63.6825349522759,2.25421870002604e-05
"51","ABCB9",187.788617886179,126.590034831206,3.5145583791214e-05
"52","ABCC1",143.431818181818,58.5987319808173,2.68439857589807e-05
"53","ABCC10",197.764705882353,220.681452617595,3.70126588063279e-05
"54","ABCC11",142.411764705882,49.4044895655476,2.66530776234741e-05
"55","ABCC12",142.496296296296,56.5454346540025,2.66688981355335e-05
"56","ABCC2",124.186440677966,57.1400199679733,2.32421166187267e-05
"57","ABCC3",139.276595744681,62.7299047642135,2.60663149928853e-05
"58","ABCC4",122.545454545455,52.8329452371603,2.29349978153104e-05
"59","ABCC5",140.71875,55.0350516297999,2.63362214110203e-05
"60","ABCC6",133.344827586207,59.0942935084313,2.49561547649099e-05
"61","ABCC8",124.08293460925,53.4394298582871,2.32227449376744e-05
"62","ABCC9",119.292682926829,42.0791081115583,2.23262252562335e-05
"63","ABCD1",243,223.48439034365,4.54786714839204e-05
"64","ABCD2",222,255.061212696526,4.15484159235816e-05
"65","ABCD3",84.7636363636364,25.9835871531781,1.58639406253675e-05
"66","ABCD4",79.6162790697674,46.7313142536581,1.49005868336876e-05
"67","ABCE1",100.756097560976,40.7999880439963,1.88570101274792e-05
"68","ABCF1",98.5,39.1988441502559,1.84347701282558e-05
"69","ABCF2",137.282051282051,49.6550992335333,2.56930259707618e-05
"70","ABCF3",98.804347826087,56.1547938253291,1.8491730353768e-05
"71","ABCG1",137.113402061856,57.3078085663761,2.56614624214561e-05
"72","ABCG2",126.21568627451,54.1536014408978,2.36219001324938e-05
"73","ABCG4",139.333333333333,48.5756205219337,2.60769337178035e-05
"74","ABCG5",150.230769230769,36.6177412514614,2.81164436239622e-05
"75","ABCG8",153.863636363636,67.0296987870341,2.8796352969149e-05
"76","ABHD1",125.225806451613,51.5096817290493,2.34366391478268e-05
"77","ABHD10",136.714285714286,76.1793719014321,2.55867657907771e-05
"78","ABHD11",135.352941176471,47.1650116550466,2.53319833174778e-05
"79","ABHD12",76.672514619883,45.7140511812746,1.43496465195216e-05
"80","ABHD12B",82.1785714285714,34.955054285551,1.53801327284687e-05
"81","ABHD13",1011,NA,0.000189213731976311
"82","ABHD14A",136.545454545455,68.8052650758974,2.55551681888696e-05
"83","ABHD14A-ACY1",104.191489361702,51.3272296006734,1.949996097161e-05
"84","ABHD14B",195.157894736842,71.9832257913025,3.65247809968328e-05
"85","ABHD15",702,253.144227664784,0.000131382828731326
"86","ABHD16A",82.7884615384615,39.0953267045531,1.54942767282587e-05
"87","ABHD16B",1407,NA,0.0002633271225427
"88","ABHD17A",186.933333333333,93.8551061604053,3.49855129879048e-05
"89","ABHD17B",249,162.224124798584,4.66016016440172e-05
"90","ABHD17C",269.25,207.092629378395,5.03914909343439e-05
"91","ABHD18",116,91.01768060008,2.17099830952048e-05
"92","ABHD2",145.041666666667,52.6039171682991,2.71452769951178e-05
"93","ABHD3",130.655172413793,53.9856302719721,2.44527722793493e-05
"94","ABHD4",105,96.5222174503801,1.9651277801694e-05
"95","ABHD5",128.603448275862,103.347300638693,2.40687817935691e-05
"96","ABHD6",124.814814814815,35.0373833728809,2.33597199970754e-05
