"","gene","ensembl_gene_id","Length","transcript_length","cds_length"
"1","A1BG","ENSG00000121410",8314,2134,NA
"2","A1BG-AS1","ENSG00000268895",7737,1056,NA
"3","A1CF","ENSG00000148584",86266,5716,NA
"4","A2M","ENSG00000175899",48565,590,NA
"5","A2M-AS1","ENSG00000245105",3526,2551,NA
"6","A2ML1","ENSG00000166535",64380,592,NA
"7","A2ML1-AS1","ENSG00000256661",54728,452,NA
"8","A2ML1-AS2","ENSG00000256904",897,386,NA
"9","A2MP1","ENSG00000256069",47284,1095,NA
"10","A3GALT2","ENSG00000184389",14332,1023,1023
"11","A4GALT","ENSG00000128274",29177,1956,NA
"12","A4GNT","ENSG00000118017",8677,1779,1023
"13","AAAS","ENSG00000094914",17408,1704,NA
"14","AACS","ENSG00000081760",77899,2014.5,NA
"15","AACSP1","ENSG00000250420",53574,1958.5,NA
"16","AADAC","ENSG00000114771",14415,1141,907.5
"17","AADACL2","ENSG00000197953",27423,4954,684
"18","AADACL2","ENSG00000261846",25582,2247,684
"19","AADACL2-AS1","ENSG00000242908",176732,554,NA
"20","AADACL2-AS1","ENSG00000262466",3688,115,NA
"21","AADACL3","ENSG00000188984",12650,3943.5,NA
"22","AADACL4","ENSG00000204518",22539,1575,1224
"23","AADACP1","ENSG00000240602",14466,713.5,NA
"24","AADAT","ENSG00000109576",31477,1455.5,NA
"25","AAGAB","ENSG00000103591",54528,1015,NA
"26","AAK1","ENSG00000115977",216352,965,NA
"27","AAMDC","ENSG00000087884",97323,560.5,NA
"28","AAMP","ENSG00000127837",6134,1447.5,NA
"29","AANAT","ENSG00000129673",16766,900.5,539.5
"30","AAR2","ENSG00000131043",34459,2417,1155
"31","AARD","ENSG00000205002",6280,1395.5,NA
"32","AARS","ENSG00000090861",37248,610,NA
"33","AARS2","ENSG00000124608",14616,2766.5,NA
"34","AARSD1","ENSG00000266967",13972,648,NA
"35","AARSP1","ENSG00000249038",452,453,NA
"36","AASDH","ENSG00000157426",49221,2981.5,NA
"37","AASDHPPT","ENSG00000149313",23198,1252,NA
"38","AASS","ENSG00000008311",70706,2922,NA
"39","AATBC","ENSG00000215458",6809,1889,NA
"40","AATF","ENSG00000275700",107917,586,NA
"41","AATF","ENSG00000276072",107996,586,NA
"42","AATK","ENSG00000181409",55734,938,NA
"43","ABALON","ENSG00000281376",1902,1903,NA
"44","ABAT","ENSG00000183044",109979,1091,NA
"45","ABCA1","ENSG00000165029",147149,1231.5,NA
"46","ABCA10","ENSG00000154263",97632,1289,NA
"47","ABCA11P","ENSG00000251595",48694,1659,NA
"48","ABCA12","ENSG00000144452",207084,7005,6834
"49","ABCA13","ENSG00000179869",476039,4377.5,NA
"50","ABCA17P","ENSG00000238098",87549,476,NA
"51","ABCA2","ENSG00000107331",21688,941.5,NA
"52","ABCA3","ENSG00000167972",64865,2440.5,NA
"53","ABCA4","ENSG00000198691",128314,869,NA
"54","ABCA5","ENSG00000154265",82933,1774.5,NA
"55","ABCA6","ENSG00000154262",63193,1706,NA
"56","ABCA7","ENSG00000064687",25471,591,NA
"57","ABCA8","ENSG00000141338",88103,1622,NA
"58","ABCA9","ENSG00000154258",86461,1031.5,NA
"59","ABCA9-AS1","ENSG00000231749",98253,550,NA
"60","ABCB1","ENSG00000085563",209690,787,NA
"61","ABCB10","ENSG00000135776",42125,877,NA
"62","ABCB10P1","ENSG00000274099",2180,2181,NA
"63","ABCB10P1","ENSG00000280461",2180,2181,NA
"64","ABCB10P1","ENSG00000281173",2180,2181,NA
"65","ABCB10P3","ENSG00000261524",2165,2166,NA
"66","ABCB10P3","ENSG00000282479",2162,2163,NA
"67","ABCB10P4","ENSG00000260053",2183,2184,NA
"68","ABCB10P4","ENSG00000274192",2182,2183,NA
"69","ABCB10P4","ENSG00000282004",2181,2182,NA
"70","ABCB11","ENSG00000073734",115826,1699,NA
"71","ABCB11","ENSG00000276582",13495,1781.5,NA
"72","ABCB4","ENSG00000005471",78738,2112,NA
"73","ABCB5","ENSG00000004846",161831,2225.5,NA
"74","ABCB6","ENSG00000115657",9222,793,NA
"75","ABCB7","ENSG00000131269",105684,2116,NA
"76","ABCB8","ENSG00000197150",19360,739.5,NA
"77","ABCB9","ENSG00000150967",60698,2134,NA
"78","ABCC1","ENSG00000103222",193497,1370.5,NA
"79","ABCC1","ENSG00000278183",193419,1543,NA
"80","ABCC10","ENSG00000124574",23061,753.5,NA
"81","ABCC11","ENSG00000121270",80658,3601,NA
"82","ABCC12","ENSG00000140798",75012,3008,NA
"83","ABCC13","ENSG00000243064",126548,3055.5,NA
"84","ABCC2","ENSG00000023839",69954,1130.5,NA
"85","ABCC3","ENSG00000108846",57476,785.5,NA
"86","ABCC4","ENSG00000125257",281640,2548,NA
"87","ABCC5","ENSG00000114770",98005,1848,NA
"88","ABCC5-AS1","ENSG00000223882",5081,469,NA
"89","ABCC6","ENSG00000091262",74594,1914,NA
"90","ABCC6","ENSG00000275331",74669,1838,NA
"91","ABCC6P1","ENSG00000256340",27166,983,NA
"92","ABCC6P2","ENSG00000255277",3910,648,NA
"93","ABCC6P2","ENSG00000273808",3910,651,NA
"94","ABCC8","ENSG00000006071",84381,3452,NA
"95","ABCC9","ENSG00000069431",145128,2672,513
"96","ABCD1","ENSG00000101986",19899,1016,NA
"97","ABCD1P2","ENSG00000215151",4191,1601,NA
"98","ABCD1P2","ENSG00000288143",4191,1601,NA
"99","ABCD1P3","ENSG00000261233",3199,605,NA
"100","ABCD1P4","ENSG00000225293",3193,604,NA
"101","ABCD1P4","ENSG00000288394",3193,604,NA
"102","ABCD1P5","ENSG00000214330",3201,754,NA
"103","ABCD2","ENSG00000173208",69770,6290,2223
"104","ABCD3","ENSG00000117528",100277,3174,NA
"105","ABCD4","ENSG00000119688",17786,816,NA
"106","ABCE1","ENSG00000164163",31236,770.5,NA
"107","ABCF1","ENSG00000204574",25786,1074,NA
"108","ABCF1","ENSG00000206490",25804,1484,NA
"109","ABCF1","ENSG00000225989",25804,1484,NA
"110","ABCF1","ENSG00000231129",25804,1483,NA
"111","ABCF1","ENSG00000232169",25806,1484,NA
"112","ABCF1","ENSG00000236149",25805,1484,NA
"113","ABCF1","ENSG00000236342",25804,1483,NA
"114","ABCF2","ENSG00000033050",15721,941,NA
"115","ABCF2","ENSG00000285292",19329,2185,1905
"116","ABCF2P1","ENSG00000242159",1866,1867,NA
"117","ABCF2P2","ENSG00000228769",1028,296,NA
"118","ABCF3","ENSG00000161204",7989,722,NA
"119","ABCG1","ENSG00000160179",97555,2998,NA
"120","ABCG2","ENSG00000118777",141478,4206,1836
"121","ABCG4","ENSG00000172350",13601,2506,NA
"122","ABCG5","ENSG00000138075",26393,2828,NA
"123","ABCG8","ENSG00000143921",51046,3058,NA
"124","ABHD1","ENSG00000143994",7023,1277,NA
"125","ABHD10","ENSG00000144827",14358,890,NA
"126","ABHD11","ENSG00000106077",2773,786,NA
"127","ABHD11-AS1","ENSG00000225969",1120,510,NA
"128","ABHD12","ENSG00000100997",96093,1118.5,NA
"129","ABHD12B","ENSG00000131969",32917,1404,NA
"130","ABHD13","ENSG00000139826",15851,5313,1014
"131","ABHD14A","ENSG00000248487",9773,933,NA
"132","ABHD14A-ACY1","ENSG00000114786",14477,1836,NA
"133","ABHD14B","ENSG00000114779",14899,1727,NA
"134","ABHD15","ENSG00000168792",6490,3492,1407
"135","ABHD15-AS1","ENSG00000264031",146543,187,NA
"136","ABHD16A","ENSG00000204427",16401,890.5,NA
"137","ABHD16A","ENSG00000206403",16475,901,NA
"138","ABHD16A","ENSG00000224552",16468,901,NA
"139","ABHD16A","ENSG00000230475",16479,903,NA
"140","ABHD16A","ENSG00000231488",16467,901,NA
"141","ABHD16A","ENSG00000235676",16466,901,NA
"142","ABHD16A","ENSG00000236063",16468,901,NA
"143","ABHD16B","ENSG00000183260",1490,1491,1410
"144","ABHD17A","ENSG00000129968",8737,1693.5,NA
"145","ABHD17AP1","ENSG00000198658",3171,933,NA
"146","ABHD17AP3","ENSG00000250536",3370,1137,NA
"147","ABHD17AP4","ENSG00000229107",3148,909,NA
"148","ABHD17AP5","ENSG00000263366",3161,923,NA
"149","ABHD17AP6","ENSG00000226981",29637,1044,NA
"150","ABHD17AP7","ENSG00000260864",2922,595,NA
"151","ABHD17AP8","ENSG00000260540",2920,574,NA
"152","ABHD17AP9","ENSG00000261536",2947,548,NA
"153","ABHD17B","ENSG00000107362",48479,1963,874.5
"154","ABHD17C","ENSG00000136379",75937,1976,NA
"155","ABHD18","ENSG00000164074",74621,2139,1149
"156","ABHD2","ENSG00000140526",114896,585.5,NA
"157","ABHD3","ENSG00000158201",53879,1094,NA
"158","ABHD4","ENSG00000100439",14978,689,NA
"159","ABHD5","ENSG00000011198",44263,1416.5,NA
"160","ABHD6","ENSG00000163686",58161,768,NA
"161","ABHD8","ENSG00000127220",18105,570,525
"162","ABI1","ENSG00000136754",114494,3441,NA
"163","ABI1P1","ENSG00000271484",1449,1120,NA
"164","ABI2","ENSG00000138443",119489,750.5,NA
"165","ABI3","ENSG00000108798",12814,1247.5,828.5
"166","ABI3BP","ENSG00000154175",244359,568.5,NA
"167","ABITRAM","ENSG00000119328",16344,530,NA
"168","ABITRAMP1","ENSG00000251106",540,541,NA
"169","ABL1","ENSG00000097007",174659,4754,3393
"170","ABL2","ENSG00000143322",130354,2292,NA
"171","ABLIM1","ENSG00000099204",336948,2230,NA
"172","ABLIM2","ENSG00000163995",193522,2291,NA
"173","ABLIM3","ENSG00000173210",119059,2288.5,NA
"174","ABO","ENSG00000175164",25623,1147,NA
"175","ABO","ENSG00000281879",19764,1215,1095
"176","ABR","ENSG00000159842",226220,588,NA
"177","ABR","ENSG00000276016",112687,579,NA
"178","ABR","ENSG00000278741",189028,574,NA
"179","ABRA","ENSG00000174429",10761,2754,1146
"180","ABRACL","ENSG00000146386",14557,619,225
"181","ABRAXAS1","ENSG00000163322",63831,1732,NA
"182","ABRAXAS2","ENSG00000165660",34848,2955,1248
"183","ABT1","ENSG00000146109",3786,2943,819
"184","ABT1P1","ENSG00000250496",820,821,NA
"185","ABTB1","ENSG00000114626",7991,818,NA
"186","ABTB2","ENSG00000166016",207023,2735.5,NA
"187","ACAA1","ENSG00000060971",34113,945.5,NA
"188","ACAA2","ENSG00000167315",31789,1657,NA
"189","ACACA","ENSG00000275176",324986,772,NA
"190","ACACA","ENSG00000278540",321844,772,NA
"191","ACACB","ENSG00000076555",151631,959,NA
"192","ACAD10","ENSG00000111271",71051,803.5,NA
"193","ACAD11","ENSG00000240303",101944,1539.5,NA
"194","ACAD8","ENSG00000151498",12360,1262,NA
"195","ACAD9","ENSG00000177646",36471,1782.5,NA
"196","ACADL","ENSG00000115361",38321,1047,NA
"197","ACADM","ENSG00000117054",63228,1031.5,NA
"198","ACADS","ENSG00000122971",14234,1398,NA
"199","ACADSB","ENSG00000196177",49332,1091.5,NA
"200","ACADVL","ENSG00000072778",8141,718,NA
