group,chem,dose,replicate,gene
Other,Furan,(100,s3,PALMD
Metal,Cobalt,(II),s5,PALMD
Nitro-PAH,6-Nitrochrysene,(0.78,s1,PALMD
Nitro-PAH,3-NBA,(0.1,s3,PALMD
Other,OTA,(0.08,s1,PALMD
PAH,DBC,(3.5,s1,FRRS1
Nitro-PAH,6-Nitrochrysene,(50,s1,NMNAT1
PAH,BPDE,(0.125,s1,RNU4-75P
PAH,DBADE,(0.0313,s3,NMNAT1
PAH,DBADE,(0.109,s1,AGL
ROS/NOS,Potassium,bromate,s1,AGL
Alkylating Agent,DMH,(11.6,s3,AGL
PAH,5-Methylchrysene,(1.6,s1,AGL
DNA Damage Response Inhibitors,AZ20,(0.9375,s2,AGL
Nitro-PAH,"1,8-DNP",(0.125,s2,AGL
PAH,DBADE,(0.0313,s2,AGL
ROS/NOS,Potassium,bromate,s5,SLC35A3
PAH,DBADE,(0.0313,s1,SLC35A3
Nitro-PAH,2-Nitrofluorene,(40,s2,SLC35A3
PAH,5-Methylchrysene,(1.6,s1,HIAT1
Other,Methyleugenol,(1.25,s3,SASS6
PAH,DBADE,(0.109,s1,SASS6
Other,AFB1,(0.25,s1,RBP7
Nitro-PAH,6-Nitrochrysene,(0.78,s5,SASS6
DNA Damage Response Inhibitors,AZD7762,(1.625,s1,LRRC39
PAH,BPDE,(0.125,s1,LRRC39
PAH,DBADE,(0.109,s1,RBP7
Alkylating Agent,MNU,(350,s1,RTCA
PAH,DBPDE,(0.000625,s3,RBP7
Other,Styrene,oxide,s5,RBP7
Alkylating Agent,ENU,(400,s1,RBP7
Drug Therapy,Ellipticine,(0.625,s2,CDC14A
Metal,Nickel,(II),s1,CDC14A
Control,Media,Control,s4,UBE4B
Heterocyclic Amine,PhIP,(3,s1,CDC14A
Alkylating Agent,ENU,(400,s3,UBE4B
Alkylating Agent,DMS,(0.078,s3,CDC14A
Alkylating Agent,MNU,(350,s1,CDC14A
Nitro-PAH,3-NBA,(0.025,s2,UBE4B
Aromatic Amine,Benzidine,(200,s3,RP11-84O12.4
Aromatic Amine,MOCA,(37.5,s3,UBE4B
Other,OTA,(0.08,s1,VCAM1
Nitro-PAH,3-NBA,(0.1,s2,VCAM1
PAH,5-Methylchrysene,(1.6,s3,VCAM1
PAH,DBPDE,(0.000625,s1,VCAM1
Heterocyclic Amine,PhIP,(3,s1,VCAM1
Other,AAI,(1.25,s3,VCAM1
Aromatic Amine,o-Anisidine,(0.85,s5,UBE4B
Nitro-PAH,6-Nitrochrysene,(50,s2,EXTL2
PAH,BaP,(0.39,s1,EXTL2
Alkylating Agent,ENU,(400,s1,EXTL2
PAH,DBADE,(0.0313,s1,UBE4B
Drug Therapy,Semustine,(700,s3,SLC30A7
Nitro-PAH,6-Nitrochrysene,(50,s1,SLC30A7
Heterocyclic Amine,MeAaC,(70,s2,DPH5
Nitro-PAH,"1,8-DNP",(8,s1,DPH5
PAH,BPDE,(0.125,s3,DPH5
Aromatic Amine,Benzidine,(200,s2,S1PR1
Other,AAI,(1.25,s3,RP11-157N3.1
Drug Therapy,Cisplatin,(3.125,s5,RP11-157N3.1
Drug Therapy,Temozolomide,(200,s2,UBE4B
Aromatic Amine,Benzidine,(900,s1,UBE4B
Nitro-PAH,"1,8-DNP",(8,s2,UBE4B
DNA Damage Response Inhibitors,AZD7762,(1.625,s2,OLFM3
PAH,DBADE,(0.109,s5,OLFM3
Aromatic Amine,2-Naphthylamine,(200,s2,OLFM3
Alkylating Agent,DMH,(11.6,s2,OLFM3
PAH,BPDE,(0.125,s2,OLFM3
PAH,DBADE,(0.109,s5,OLFM3
Aromatic Amine,"2,6-Dimethylaniline",(11,s1,OLFM3
Heterocyclic Amine,PhIP,(4,s3,OLFM3
PAH,DBADE,(0.0313,s3,OLFM3
Nitro-PAH,"1,8-DNP",(8,s2,OLFM3
Nitro-PAH,"1,8-DNP",(8,s1,UBE4B
Other,AAI,(1.25,s3,OLFM3
Nitro-PAH,"1,6-DNP",(0.09,s1,RP11-202K23.1
Nitro-PAH,6-Nitrochrysene,(50,s1,RP11-202K23.1
Other,Catechol,(5.5,s2,RP11-202K23.1
Drug Therapy,Bleomycin,(0.188,s2,RP11-202K23.1
Aromatic Amine,Benzidine,(900,s2,RP11-202K23.1
Nitro-PAH,3-NBA,(0.1,s2,RP11-202K23.1
Drug Therapy,Bleomycin,(0.188,s2,RP11-202K23.1
Alkylating Agent,MNU,(350,s3,RP11-202K23.1
Aromatic Amine,MOCA,(37.5,s1,RP11-202K23.1
ROS/NOS,Potassium,bromate,s4,RP11-202K23.1
Control,DMSO,Control,s1,RP11-202K23.1
Alkylating Agent,ENU,(400,s3,RP11-202K23.1
PAH,DBADE,(0.0313,s2,KIF1B
Metal,Lead,(II),s1,RP11-202K23.1
Aromatic Amine,MOCA,(37.5,s2,RP11-202K23.1
Drug Therapy,Cyclophosphamide,(18.75,s2,RP5-936J12.1
Nitro-PAH,"1,8-DNP",(8,s2,RP5-936J12.1
Control,Media,Control,s2,C1orf159
Nitrosamine,N-Nitrosopyrrolidine,(50,s2,RP5-936J12.1
PAH,DBADE,(0.109,s5,RP5-936J12.1
PAH,DBADE,(0.109,s5,RP5-936J12.1
Drug Therapy,Semustine,(150,s1,COL11A1
Nitro-PAH,2-Nitrofluorene,(10,s2,COL11A1
Nitro-PAH,"1,8-DNP",(8,s1,COL11A1
Other,"1,4-Benzoquinone",(5,s3,COL11A1
Aldehydes,Formaldehyde,(120,s1,COL11A1
Drug Therapy,Ellipticine,(0.375,s4,COL11A1
Alkylating Agent,DMH,(11.6,s3,COL11A1
Nitro-PAH,6-Nitrochrysene,(0.78,s2,COL11A1
Radiation,Gamma,irradiation,s1,COL11A1
Alkylating Agent,DMS,(0.078,s1,KIF1B
Drug Therapy,Semustine,(150,s1,COL11A1
Aromatic Amine,"2,6-Dimethylaniline",(3.8,s2,COL11A1
Nitro-PAH,6-Nitrochrysene,(50,s2,COL11A1
Nitro-PAH,6-Nitrochrysene,(0.78,s5,COL11A1
Drug Therapy,Mitomycin,C,s1,COL11A1
Nitro-PAH,"1,8-DNP",(0.125,s1,COL11A1
Drug Therapy,Temozolomide,(200,s2,COL11A1
Aromatic Amine,MOCA,(5,s2,COL11A1
Drug Therapy,Temozolomide,(200,s2,COL11A1
PAH,DBADE,(0.109,s5,RNPC3
Nitro-PAH,6-Nitrochrysene,(50,s2,RNPC3
Other,MX,(7,s4,AMY2B
Control,NaCl,Control,s2,KIF1B
PAH,DBPDE,(0.000625,s1,AMY2A
Drug Therapy,Cisplatin,(3.125,s5,AMY2A
PAH,DBA,(75,s1,KIF1B
Nitro-PAH,6-Nitrochrysene,(50,s2,KIF1B
Nitro-PAH,6-Nitrochrysene,(50,s2,KIF1B
PAH,BPDE,(0.125,s2,AMY1C
Other,MX,(7,s2,RP11-364B6.1
PAH,DBADE,(0.0313,s3,PGD
Radiation,SSR,(1.25,s5,APITD1-CORT
Control,H2O,Control,s2,DFFA
PAH,DBA,(75,s2,PEX14
Drug Therapy,Ellipticine,(0.375,s2,RP11-251P6.1
Drug Therapy,Cyclophosphamide,(18.75,s1,RP11-251P6.1
Heterocyclic Amine,PhIP,(4,s4,RP11-251P6.1
Other,Acrylamide,(9.5,s2,RP11-251P6.1
Alkylating Agent,ENU,(400,s3,RP11-24P14.1
PAH,DBPDE,(0.000156,s1,RP11-24P14.1
Control,MeOH,Control,s3,RP11-24P14.1
PAH,BPDE,(0.125,s3,RP11-24P14.1
PAH,BPDE,(0.125,s1,RP11-24P14.1
PAH,BPDE,(0.125,s3,RP11-24P14.1
Drug Therapy,Cyclophosphamide,(60,s2,RP11-24P14.1
Control,DMSO,Control,s1,RP11-24P14.1
Radiation,SSR,(1.25,s5,RP11-24P14.1
Nitro-PAH,2-Nitrofluorene,(40,s1,RP5-947P14.1
PAH,DBP,(0.0313,s2,RP5-947P14.1
PAH,5-Methylchrysene,(1.6,s3,CASZ1
Drug Therapy,Temozolomide,(200,s2,CASZ1
Aromatic Amine,Benzidine,(200,s2,CASZ1
Heterocyclic Amine,PhIP,(4,s5,CASZ1
Drug Therapy,Ellipticine,(0.625,s1,RP11-465B22.5
PAH,DBADE,(0.109,s6,CASZ1
PAH,DBADE,(0.109,s1,CASZ1
Aromatic Amine,2-Naphthylamine,(200,s3,RP11-233E12.1
Drug Therapy,Cisplatin,(3.125,s5,CASZ1
Control,DMSO,Control,s6,RP11-233E12.1
PAH,BPDE,(0.125,s3,NTNG1
Drug Therapy,Ellipticine,(0.125,s5,NTNG1
Nitro-PAH,6-Nitrochrysene,(0.78,s1,NTNG1
PAH,BPDE,(0.125,s1,CASZ1
Nitro-PAH,6-Nitrochrysene,(0.78,s2,NTNG1
Alkylating Agent,DMS,(0.078,s1,NTNG1
PAH,BPDE,(0.125,s1,CASZ1
Drug Therapy,Temozolomide,(200,s2,CASZ1
Alkylating Agent,DES,(0.938,s3,NTNG1
Nitro-PAH,"1,8-DNP",(0.125,s1,NTNG1
Drug Therapy,Temozolomide,(200,s2,RP11-465B22.5
PAH,5-Methylchrysene,(1.6,s2,NTNG1
Other,MX,(2.5,s5,NTNG1
PAH,DBADE,(0.109,s6,NTNG1
Aromatic Amine,2-Naphthylamine,(200,s1,NTNG1
Other,Furan,(100,s2,VAV3
Other,Styrene,oxide,s5,VAV3
PAH,DBADE,(0.109,s5,VAV3
Drug Therapy,Temozolomide,(200,s2,CASZ1
Alkylating Agent,DMH,(11.6,s1,VAV3
PAH,5-Methylchrysene,(1.6,s1,CASZ1
Aldehydes,Formaldehyde,(85.5,s1,CASZ1
PAH,DBPDE,(0.000625,s2,VAV3
Other,AFB1,(0.25,s1,VAV3
PAH,BPDE,(0.125,s1,CASZ1
Aromatic Amine,4-ABP,(300,s2,VAV3
PAH,BPDE,(0.125,s2,CASZ1
PAH,DBADE,(0.109,s6,VAV3
Heterocyclic Amine,MeIQX,(300,s4,VAV3
Control,Media,Control,s4,VAV3
Other,AAI,(1.25,s3,VAV3
Alkylating Agent,MNU,(350,s3,VAV3
PAH,BaP,(0.39,s2,RP11-356N1.2
PAH,DBADE,(0.109,s6,SLC25A24
Alkylating Agent,MMS,(100,s3,SLC25A24
PAH,DBADE,(0.0313,s3,SLC25A24
Nitro-PAH,"1,8-DNP",(0.125,s3,NBPF4
PAH,DBP,(0.0313,s3,FAM102B
Drug Therapy,Ellipticine,(0.375,s1,FNDC7
Alkylating Agent,DES,(0.938,s1,FNDC7
PAH,5-Methylchrysene,(1.6,s1,FNDC7
Nitro-PAH,"1,8-DNP",(8,s3,FNDC7
Nitro-PAH,6-Nitrochrysene,(50,s2,STXBP3
Radiation,SSR,(1.25,s4,STXBP3
PAH,DBADE,(0.0313,s1,STXBP3
Other,Methyleugenol,(1.9,s2,STXBP3
Nitro-PAH,6-Nitrochrysene,(0.78,s1,STXBP3
Control,H2O,Control,s1,AKNAD1
Nitro-PAH,6-Nitrochrysene,(50,s1,AKNAD1
Heterocyclic Amine,MeAaC,(70,s2,GPSM2
PAH,DBADE,(0.109,s5,CLCC1
PAH,5-Methylchrysene,(1.6,s2,CLCC1
Alkylating Agent,ENU,(400,s1,WDR47
PAH,BPDE,(0.125,s2,WDR47
PAH,DBADE,(0.0313,s3,WDR47
Drug Therapy,Melphalan,(1.5,s1,WDR47
Aldehydes,Formaldehyde,(120,s3,TAF13
Other,Styrene,oxide,s6,TMEM167B
PAH,5-Methylchrysene,(1.6,s2,TMEM167B
Radiation,SSR,(1.25,s4,KIAA1324
Nitro-PAH,6-Nitrochrysene,(50,s1,KIAA1324
Control,DMSO,Control,s2,KIAA1324
PAH,DBP,(0.0313,s1,KIAA1324
Nitro-PAH,6-Nitrochrysene,(0.78,s2,KIAA1324
ROS/NOS,H2O2,(24.5,s1,KIAA1324
Control,Media,Control,s3,RNU7-122P
Aldehydes,Acetaldehyde,(12,s1,MIR200B
PAH,5-Methylchrysene,(1.6,s3,SARS
Metal,Nickel,(II),s1,SARS
Nitro-PAH,2-Nitrofluorene,(10,s2,SARS
Nitro-PAH,6-Nitrochrysene,(50,s2,SARS
Alkylating Agent,DMH,(11.6,s2,CELSR2
Drug Therapy,Melphalan,(1.5,s2,CELSR2
Drug Therapy,Mechlorethamine,(0.3,s2,PSRC1
PAH,BaP,(0.39,s2,PSRC1
PAH,DBPDE,(0.000625,s3,SORT1
PAH,5-Methylchrysene,(1.6,s3,SORT1
Aromatic Amine,Benzidine,(900,s1,SORT1
PAH,DBADE,(0.109,s6,SORT1
PAH,DBPDE,(0.000156,s2,PSMA5
Nitro-PAH,6-Nitrochrysene,(50,s2,SYPL2
Radiation,SSR,(1.25,s4,SYPL2
Nitro-PAH,"1,8-DNP",(8,s2,C1orf127
Alkylating Agent,DMH,(11.6,s1,SYPL2
PAH,BaP,(0.39,s2,C1orf127
PAH,BPDE,(0.125,s1,ATXN7L2
Nitro-PAH,6-Nitrochrysene,(0.78,s1,AMIGO1
Alkylating Agent,ENU,(400,s1,GPR61
Nitro-PAH,"1,8-DNP",(8,s1,GNAI3
Control,DMSO,Control,s2,C1orf127
Aldehydes,Formaldehyde,(120,s1,GNAI3
PAH,BPDE,(0.125,s1,GSTM2
Radiation,SSR,(1.25,s5,GSTM2
PAH,DBADE,(0.109,s6,C1orf127
Aromatic Amine,Benzidine,(900,s3,GSTM3
Drug Therapy,Temozolomide,(200,s2,GSTM3
Alkylating Agent,DMH,(11.6,s3,EPS8L3
Heterocyclic Amine,PhIP,(3,s1,RP4-735C1.6
Drug Therapy,Carboplatin,(5,s3,RP4-735C1.6
PAH,DBADE,(0.109,s5,RP4-735C1.6
Alkylating Agent,DMH,(11.6,s1,RP11-195M16.3
PAH,DBADE,(0.109,s5,RP11-195M16.3
PAH,DBADE,(0.109,s6,CSF1
PAH,BPDE,(0.125,s1,AHCYL1
Alkylating Agent,MNU,(350,s3,AHCYL1
PAH,BPDE,(0.125,s3,AHCYL1
Nitro-PAH,"1,8-DNP",(8,s1,AHCYL1
Nitro-PAH,6-Nitrochrysene,(0.78,s2,AHCYL1
PAH,BPDE,(0.125,s3,STRIP1
Drug Therapy,Semustine,(150,s3,STRIP1
Other,Acrolein,(5,s2,STRIP1
PAH,BPDE,(0.125,s1,ALX3
PAH,DBADE,(0.0313,s3,ALX3
Other,Propylene,oxide,s2,UBL4B
Aromatic Amine,2-Naphthylamine,(200,s5,SLC6A17
Nitro-PAH,6-Nitrochrysene,(50,s2,SLC6A17
Control,MeOH,Control,s2,SLC6A17
PAH,DBA,(75,s2,SLC6A17
PAH,BPDE,(0.125,s1,TARDBP
PAH,DBPDE,(0.000625,s3,SLC6A17
PAH,5-Methylchrysene,(1.6,s1,SLC6A17
Radiation,SSR,(1.25,s6,SLC6A17
Heterocyclic Amine,PhIP,(4,s5,SLC6A17
PAH,5-Methylchrysene,(1.6,s3,SLC6A17
PAH,5-Methylchrysene,(1.6,s2,SLC6A17
Metal,Cadmium,chloride,s1,SLC6A17
Aromatic Amine,MOCA,(37.5,s2,KCNC4
DNA Damage Response Inhibitors,AZ20,(0.9375,s1,TTLL10
PAH,DBADE,(0.0313,s2,TARDBP
Nitro-PAH,"1,6-DNP",(0.09,s1,RBM15
PAH,BaP,(0.39,s3,SLC16A4
Radiation,SSR,(1.25,s5,SLC16A4
Other,AAI,(1.25,s3,KCNA10
ROS/NOS,Potassium,bromate,s1,KCNA2
Drug Therapy,Cisplatin,(12.5,s2,KCNA2
Radiation,SSR,(1.25,s4,KCNA2
ROS/NOS,Potassium,bromate,s4,KCNA2
Nitro-PAH,6-Nitrochrysene,(50,s1,RP11-284N8.3
PAH,DBA,(75,s2,SRM
PAH,DBC,(3.5,s2,RP11-284N8.3
ROS/NOS,Potassium,bromate,s5,RP11-284N8.3
Nitro-PAH,6-Nitrochrysene,(0.78,s2,EXOSC10
PAH,BPDE,(0.125,s1,CD53
Drug Therapy,Cisplatin,(12.5,s3,CD53
Nitro-PAH,6-Nitrochrysene,(50,s1,CD53
Alkylating Agent,DMH,(9,s1,LRIF1
Radiation,Gamma,irradiation,s1,LRIF1
Aromatic Amine,MOCA,(37.5,s3,CHI3L2
Nitro-PAH,1-Nitropyrene,(2.5,s1,MTOR
Alkylating Agent,DES,(0.938,s2,CHI3L2
Heterocyclic Amine,PhIP,(3,s4,CHIA
Aldehydes,Formaldehyde,(120,s1,CHIA
Other,AAII,(37.5,s6,PIFO
PAH,DBADE,(0.109,s1,ATP5F1
PAH,DBADE,(0.109,s6,ATP5F1
Drug Therapy,Olaparib,(0.625,s2,ATP5F1
Control,Media,Control,s1,ATP5F1
Drug Therapy,Temozolomide,(200,s2,ATP5F1
Aromatic Amine,MOCA,(37.5,s3,ADORA3
Other,Styrene,oxide,s4,ADORA3
Drug Therapy,Ellipticine,(0.375,s3,ADORA3
Nitro-PAH,6-Nitrochrysene,(50,s2,RAP1A
Metal,Sodium,(meta),s3,RAP1A
Alkylating Agent,DMH,(11.6,s1,RAP1A
Drug Therapy,Ellipticine,(0.25,s2,RAP1A
ROS/NOS,Potassium,bromate,s5,RAP1A
Aromatic Amine,o-Anisidine,(0.85,s1,RAP1A
Control,Media,Control,s1,RAP1A
Nitro-PAH,6-Nitrochrysene,(0.78,s5,RAP1A
Drug Therapy,Ellipticine,(0.625,s1,RAP1A
Drug Therapy,Cisplatin,(12.5,s2,FAM212B
Other,Acrylamide,(9.5,s1,FAM212B
Radiation,SSR,(1.25,s4,MTOR
Heterocyclic Amine,PhIP,(3,s3,KCND3
PAH,5-Methylchrysene,(1.6,s3,KCND3
ROS/NOS,Peroxynitrite,(30,s2,KCND3
PAH,DBADE,(0.109,s1,KCND3
Heterocyclic Amine,PhIP,(4,s4,KCND3
Nitro-PAH,6-Nitrochrysene,(50,s1,KCND3
Alkylating Agent,ENU,(400,s3,KCND3
PAH,DBA,(75,s1,KCND3
Other,AAI,(1.25,s3,KCND3
PAH,DBADE,(0.109,s6,KCND3
Nitro-PAH,6-Nitrochrysene,(50,s2,KCND3
Heterocyclic Amine,PhIP,(4,s4,KCND3
Drug Therapy,Cisplatin,(3.125,s5,KCND3
PAH,BPDE,(0.125,s1,KCND3
Nitro-PAH,1-Nitropyrene,(2.5,s2,KCND3
Nitro-PAH,6-Nitrochrysene,(12.5,s3,KCND3
Other,OTA,(0.08,s1,MTOR
DNA Damage Response Inhibitors,AZ20,(0.9375,s1,RP5-965F6.2
Other,AAI,(1.25,s1,RP5-965F6.2
Radiation,SSR,(1.25,s6,RP5-965F6.2
Radiation,Gamma,irradiation,s1,RP5-965F6.2
PAH,BPDE,(0.125,s2,RP5-965F6.2
Nitro-PAH,6-Nitrochrysene,(0.78,s1,RP5-965F6.2
PAH,DBADE,(0.0313,s2,RP5-965F6.2
Drug Therapy,Etoposide,(0.0188,s2,RP5-965F6.2
Radiation,SSR,(1.25,s6,RP5-965F6.2
Control,MeOH,Control,s3,RP5-965F6.2
ROS/NOS,Potassium,bromate,s3,RP5-965F6.2
Nitro-PAH,6-Nitrochrysene,(50,s1,RP5-965F6.2
PAH,BPDE,(0.125,s3,WNT2B
PAH,DBC,(3.5,s2,WNT2B
PAH,BPDE,(0.125,s1,WNT2B
PAH,DBADE,(0.109,s5,WNT2B
Nitro-PAH,3-NBA,(0.025,s1,WNT2B
PAH,DBADE,(0.109,s6,WNT2B
PAH,BPDE,(0.125,s2,WNT2B
Other,AAI,(1.25,s3,WNT2B
Other,AFB1,(0.25,s1,ST7L
PAH,BaP,(0.39,s3,ST7L
Radiation,SSR,(1.25,s4,ST7L
Control,DMSO,Control,s3,ST7L
PAH,5-Methylchrysene,(1.6,s3,MTOR
